{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '65338', 'destinationIp': '127.0.0.1', 'destinationPort': '65337', 'status': 'ESTABLISHED', 'pid': '15672'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '3.20.139.117', 'destinationPort': '57808', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '3.20.139.117', 'destinationPort': '57818', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '13.107.6.158', 'destinationPort': '58130', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '13.107.21.239', 'destinationPort': '58128', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '13.107.42.16', 'destinationPort': '58117', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '13.107.136.9', 'destinationPort': '58174', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '13.249.26.201', 'destinationPort': '57929', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '18.118.116.5', 'destinationPort': '58203', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '20.7.1.246', 'destinationPort': '65003', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '20.7.1.246', 'destinationPort': '65359', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '20.37.153.2', 'destinationPort': '58213', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '20.189.173.5', 'destinationPort': '58060', 'status': 'FIN_WAIT_2', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '20.189.173.10', 'destinationPort': '58112', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '23.22.52.44', 'destinationPort': '65011', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '34.120.208.123', 'destinationPort': '58232', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '34.217.237.91', 'destinationPort': '50801', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '52.113.194.132', 'destinationPort': '58007', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '52.113.194.132', 'destinationPort': '58120', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '52.113.194.132', 'destinationPort': '58168', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '52.114.128.205', 'destinationPort': '65131', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '52.115.92.14', 'destinationPort': '52548', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '142.250.68.132', 'destinationPort': '58248', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '146.20.132.122', 'destinationPort': '57810', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '9000', 'destinationIp': '165.225.56.32', 'destinationPort': '58237', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '50561', 'destinationIp': '40.84.185.67', 'destinationPort': '9354', 'status': 'ESTABLISHED', 'pid': '13232'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '50801', 'destinationIp': '34.217.237.91', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '12748'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '50805', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '52548', 'destinationIp': '52.115.92.14', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7284'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '52554', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '57810', 'destinationIp': '146.20.132.122', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '16084'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '57812', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '57818', 'destinationIp': '3.20.139.117', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '16084'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '57819', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '57929', 'destinationIp': '13.249.26.201', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '16084'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '57930', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58007', 'destinationIp': '52.113.194.132', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7284'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58008', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58058', 'destinationIp': '20.42.73.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58059', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58060', 'destinationIp': '20.189.173.5', 'destinationPort': '443', 'status': 'CLOSE_WAIT', 'pid': '7284'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58064', 'destinationIp': '20.81.51.95', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58066', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58067', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58093', 'destinationIp': '20.98.16.82', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58094', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58097', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58112', 'destinationIp': '20.189.173.10', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '9164'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58113', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
